b'doubleTwelveTaskFragmentReceived:_765702',b'3' 
b'doubleTwelveTaskFragmentReceived:_927014',b'6' 
b'doubleTwelveTaskFragmentReceived:_210018',b'5' 
b'doubleTwelveTaskFragmentReceived:_656449',b'3' 
b'doubleTwelveTaskFragmentReceived:_930655',b'12' 
b'doubleTwelveTaskFragmentReceived:_715100',b'3' 
b'doubleTwelveTaskFragmentReceived:_597545',b'3' 
b'doubleTwelveTaskFragmentReceived:_336755',b'6' 
b'doubleTwelveTaskFragmentReceived:_215958',b'5' 
b'doubleTwelveTaskFragmentReceived:_814489',b'15' 
b'doubleTwelveTaskFragmentReceived:_377471',b'17' 
b'doubleTwelveTaskFragmentReceived:_677322',b'2' 
b'doubleTwelveTaskFragmentReceived:_369699',b'3' 
b'doubleTwelveTaskFragmentReceived:_905115',b'12' 
b'doubleTwelveTaskFragmentReceived:_1054231',b'3' 
b'doubleTwelveTaskFragmentReceived:_318396',b'5' 
b'doubleTwelveTaskFragmentReceived:_325382',b'5' 
b'doubleTwelveTaskFragmentReceived:_290452',b'3' 
b'doubleTwelveTaskFragmentReceived:_379952',b'9' 
b'doubleTwelveTaskFragmentReceived:_1033368',b'11' 
b'doubleTwelveTaskFragmentReceived:_170199',b'3' 
b'doubleTwelveTaskFragmentReceived:_236816',b'15' 
b'doubleTwelveTaskFragmentReceived:_635682',b'16' 
b'doubleTwelveTaskFragmentReceived:_973924',b'6' 
b'doubleTwelveTaskFragmentReceived:_543357',b'3' 
b'doubleTwelveTaskFragmentReceived:_272570',b'3' 
b'doubleTwelveTaskFragmentReceived:_558471',b'9' 
b'doubleTwelveTaskFragmentReceived:_483727',b'3' 
b'doubleTwelveTaskFragmentReceived:_5701',b'3' 
b'doubleTwelveTaskFragmentReceived:_104560',b'6' 
b'doubleTwelveTaskFragmentReceived:_476527',b'14' 
b'doubleTwelveTaskFragmentReceived:_1049176',b'2' 
b'doubleTwelveTaskFragmentReceived:_466817',b'4' 
b'doubleTwelveTaskFragmentReceived:_102204',b'4' 
b'doubleTwelveTaskFragmentReceived:_114949',b'3' 
b'doubleTwelveTaskFragmentReceived:_431129',b'5' 
b'doubleTwelveTaskFragmentReceived:_459329',b'11' 
b'doubleTwelveTaskFragmentReceived:_1076956',b'6' 
b'doubleTwelveTaskFragmentReceived:_746488',b'8' 
b'doubleTwelveTaskFragmentReceived:_932404',b'9' 
b'doubleTwelveTaskFragmentReceived:_968274',b'3' 
b'doubleTwelveTaskFragmentReceived:_475471',b'6' 
b'doubleTwelveTaskFragmentReceived:_1057054',b'3' 
